No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Category,Unknown,Remaining_data,Url_Keywords,Priority Rank,
48,hindustan petroleum,823000,26,2222,$0.36,1,48,https://www.mappls.com/p0837k,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
49,chandni chowk in new delhi,823000,107,1728,$0.12,3,26,https://www.mappls.com/place-gandhi+market-1864-chandni+chowk+road-maliwara-chandni+chowk-new+delhi-delhi-110006-5ia3ef@zdata=MjguNjU1OTk1Kzc3LjIzMTM3MysxNys1aWEzZWYrKw==ed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
50,terminal 3 igi airport delhi,673000,39,1413,$0.12,3,23,https://www.mappls.com/place-indira+gandhi+international+airport+departure+terminal+3-indira+gandhi+international+airport-igi+t3+road-near+mehram+nagar-new+delhi-delhi-110037-D4CS6S@zdata=MjguNTU1MDEzKzc3LjA4NDM3KzE3K0Q0Q1M2UysrbnI=ed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
51,post office near me,550000,39,1413,$0.41,1,35,https://www.mappls.com/23se1t,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
52,railway station thane,673000,35,1413,$0,4,44,https://www.mappls.com/place-thane+railway+station+west-jambli+naka-thane+west-thane-maharashtra-400601-CBDA35@zdata=MTkuMTg2NjA1KzcyLjk3NTQ2NCsxNytDQkRBMzUrK25yed,Thane,Maharashtra,India,West,Thane,Unknown,,,,1,
53,city mangalore,673000,30,1547,$0.24,1,38,https://www.mappls.com/6bb53s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
54,laxmi nagar,550000,49,1413,$0.12,4,49,https://www.mappls.com/place-laxmi+nagar+metro+station-vikas+marg-block+d-lakshmi+nagar-new+delhi-delhi-110092-284TB1@zdata=MjguNjMwNDU2Kzc3LjI3NzM2NCsxNysyODRUQjErK25yed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
55,indira gandhi airport terminal 3,673000,48,1413,$0.70,3,35,https://www.mappls.com/place-indira+gandhi+international+airport+arrival+terminal+3-indira+gandhi+international+airport-airport+road-new+delhi-delhi-110037-B8X9BD@zdata=MjguNTU1MDEzKzc3LjA4NDM3KzE3K0I4WDlCRCsrbnI=ed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
56,delhi nizamuddin station,673000,49,1413,$0.09,3,30,https://www.mappls.com/place-hazrat+nizamuddin+railway+station-station+road-nizamuddin+east-new+delhi-delhi-110013-SHG9VR@zdata=MjguNTg4ODk0Kzc3LjI1MzUwOSsxNytTSEc5VlIrK25yed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
57,block c,673000,16,5047,$0.11,3,18,https://www.mappls.com/kdrgo3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
