No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Category
6007,manna mess,9900,16,167,$0.04,1,32,https://www.zomato.com/kotagiri/manna-mess-kotagiri-locality/order,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
6008,maa ki rasoi,14800,4,4499,$0.05,2,21,https://www.zomato.com/hi/indore/maa-ki-rasoi-sudama-nagar,Indore,Unknown,Unknown,Unknown,Indore,Unknown
6009,kwality restaurant,14800,5,2397,$0.12,2,23,https://www.zomato.com/ncr/kwality-connaught-place-new-delhi,New Delhi,Delhi,India,North,New Delhi,Unknown
6010,koramangala 8th block,14800,6,1440,$0.43,6,19,https://www.zomato.com/bangalore/koramangala-8th-block-restaurants,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Restaurant
6011,khan market eateries,14800,5,2397,$0.01,1,23,https://www.zomato.com/ncr/restaurants/in/khan-market,Unknown,Unknown,Unknown,Unknown,Unknown,Restaurant
6012,kfc menu with price,12100,11,378,$0.14,1,9,https://www.zomato.com/pune/kfc-jm-road/order,Pune,Unknown,Unknown,Unknown,Pune,Unknown
6013,kanha sweet,12100,7,1440,$0.24,2,21,https://www.zomato.com/jaipur/kanha-malviya-nagar,Jaipur,Unknown,Unknown,Unknown,Jaipur,Unknown
6014,kadri cafe,12100,4,2397,$0.75,3,29,https://www.zomato.com/mangalore/kadri-cafe-1-kadri,Mangaluru,Unknown,Unknown,Unknown,Mangaluru,Restaurant
6015,k r bakers,12100,13,378,$0.15,1,22,https://www.zomato.com/kochi/k-r-bakes-1-kalamassery/order,Kochi,Unknown,Unknown,Unknown,Kochi,Unknown
6016,yo tibet,9900,3,4499,$0.39,5,19,https://www.zomato.com/ncr/yo-tibet-safdarjung-new-delhi,New Delhi,Delhi,India,North,New Delhi,Unknown
6017,venu biriyani hotel dindigul,12100,8,975,$0,1,21,https://www.zomato.com/coimbatore/dindigul-venu-biryani-gandhipuram,Coimbatore,Unknown,Unknown,Unknown,Coimbatore,Unknown
6018,veg thali restaurants near me,12100,6,1440,$0.18,11,12,https://www.zomato.com/ambikapur/delivery/dish-veg-thali,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
6019,underdoggs hebbal,9900,3,4499,$0.25,9,22,https://www.zomato.com/bangalore/underdoggs-hebbal-sahakara-nagar-bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown
6020,truffles whitefield,8100,4,2397,$0.30,5,23,https://www.zomato.com/bangalore/truffles-mahadevapura-bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown
6021,top restaurants surat,14800,6,1440,$0.02,1,23,https://www.zomato.com/surat/dine-out,Surat,Unknown,Unknown,Unknown,Surat,Unknown
6022,the green door,9900,4,4499,$0.13,3,41,https://www.zomato.com/mumbai/the-green-door-1-goregaon-west,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown
6023,teahouse,12100,10,694,$0.22,3,36,https://www.zomato.com/teahouse,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
6024,tea villa cafe jayanagar,14800,1,4499,$0.04,4,11,https://www.zomato.com/bangalore/tea-villa-cafe-jayanagar-bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Restaurant
6025,solitaire mumbai hotel,12100,8,694,$0.27,24,19,https://www.zomato.com/mumbai/solitaire-kitchen-bar-hotel-solitaire-near-andheri-east-station,Mumbai,Unknown,Unknown,Unknown,Mumbai,Hotel
6026,sign laban kochi,12100,9,975,$0.01,1,31,https://www.zomato.com/kochi/real-laban-kacherippady/order,Kochi,Unknown,Unknown,Unknown,Kochi,Unknown
